1,The Shawshank Redemption,1994,A,9.3
2,The Godfather,1972,A,9.2
3,The Dark Knight,2008,UA,9
4,The Godfather: Part II,1974,A,9
5,12 Angry Men,1957,U,9
6,The Lord of the Rings: The Return of the King,2003,U,8.9
7,Pulp Fiction,1994,A,8.9
8,Schindler's List,1993,A,8.9
9,Inception,2010,UA,8.8
10,Fight Club,1999,A,8.8
11,The Lord of the Rings: The Fellowship of the Ring,2001,U,8.8
12,Forrest Gump,1994,UA,8.8
13,"Il buono, il brutto, il cattivo",1966,A,8.8
14,The Lord of the Rings: The Two Towers,2002,UA,8.7
15,The Matrix,1999,A,8.7
16,Goodfellas,1990,A,8.7
17,Star Wars: Episode V - The Empire Strikes Back,1980,UA,8.7
18,One Flew Over the Cuckoo's Nest,1975,A,8.7
19,Hamilton,2020,PG-13,8.6
20,Gisaengchung,2019,A,8.6
21,Soorarai Pottru,2020,U,8.6
22,Interstellar,2014,UA,8.6
23,Cidade de Deus,2002,A,8.6
24,Sen to Chihiro no kamikakushi,2001,U,8.6
25,Saving Private Ryan,1998,R,8.6
26,The Green Mile,1999,A,8.6
27,La vita è bella,1997,U,8.6
28,Se7en,1995,A,8.6
29,The Silence of the Lambs,1991,A,8.6
30,Star Wars,1977,UA,8.6
31,Seppuku,1962,,8.6
32,Shichinin no samurai,1954,U,8.6
33,It's a Wonderful Life,1946,PG,8.6
34,Joker,2019,A,8.5
35,Whiplash,2014,A,8.5
36,The Intouchables,2011,UA,8.5
37,The Prestige,2006,U,8.5
38,The Departed,2006,A,8.5
39,The Pianist,2002,R,8.5
40,Gladiator,2000,UA,8.5
41,American History X,1998,R,8.5
42,The Usual Suspects,1995,A,8.5
43,Léon,1994,A,8.5
44,The Lion King,1994,U,8.5
45,Terminator 2: Judgment Day,1991,U,8.5
46,Nuovo Cinema Paradiso,1988,U,8.5
47,Hotaru no haka,1988,U,8.5
48,Back to the Future,1985,U,8.5
49,Once Upon a Time in the West,1968,U,8.5
50,Psycho,1960,A,8.5
51,Casablanca,1942,U,8.5
52,Modern Times,1936,G,8.5
53,City Lights,1931,G,8.5
54,Capharnaüm,2018,A,8.4
55,Ayla: The Daughter of War,2017,,8.4
56,Vikram Vedha,2017,UA,8.4
57,Kimi no na wa.,2016,U,8.4
58,Dangal,2016,U,8.4
59,Spider-Man: Into the Spider-Verse,2018,U,8.4
60,Avengers: Endgame,2019,UA,8.4
61,Avengers: Infinity War,2018,UA,8.4
62,Coco,2017,U,8.4
63,Django Unchained,2012,A,8.4
64,The Dark Knight Rises,2012,UA,8.4
65,3 Idiots,2009,UA,8.4
66,Taare Zameen Par,2007,U,8.4
67,WALL·E,2008,U,8.4
68,The Lives of Others,2006,A,8.4
69,Oldeuboi,2003,A,8.4
70,Memento,2000,UA,8.4
71,Mononoke-hime,1997,U,8.4
72,Once Upon a Time in America,1984,A,8.4
73,Raiders of the Lost Ark,1981,A,8.4
74,The Shining,1980,A,8.4
75,Apocalypse Now,1979,R,8.4
76,Alien,1979,R,8.4
77,Anand,1971,U,8.4
78,Tengoku to jigoku,1963,,8.4
79,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,A,8.4
80,Witness for the Prosecution,1957,U,8.4
81,Paths of Glory,1957,A,8.4
82,Rear Window,1954,U,8.4
83,Sunset Blvd.,1950,Passed,8.4
84,The Great Dictator,1940,Passed,8.4
85,1917,2019,R,8.3
86,Tumbbad,2018,A,8.3
87,Andhadhun,2018,UA,8.3
88,Drishyam,2013,U,8.3
89,Jagten,2012,R,8.3
90,Jodaeiye Nader az Simin,2011,PG-13,8.3
91,Incendies,2010,R,8.3
92,Miracle in cell NO.7,2019,TV-14,8.3
93,Babam ve Oglum,2005,,8.3
94,Inglourious Basterds,2009,A,8.3
95,Eternal Sunshine of the Spotless Mind,2004,UA,8.3
96,Amélie,2001,U,8.3
97,Snatch,2000,UA,8.3
98,Requiem for a Dream,2000,A,8.3
99,American Beauty,1999,UA,8.3
100,Good Will Hunting,1997,U,8.3
101,Bacheha-Ye aseman,1997,PG,8.3
102,Toy Story,1995,U,8.3
103,Braveheart,1995,A,8.3
104,Reservoir Dogs,1992,R,8.3
105,Full Metal Jacket,1987,UA,8.3
106,Idi i smotri,1985,A,8.3
107,Aliens,1986,U,8.3
108,Amadeus,1984,R,8.3
109,Scarface,1983,A,8.3
110,Star Wars: Episode VI - Return of the Jedi,1983,U,8.3
111,Das Boot,1981,R,8.3
112,Taxi Driver,1976,A,8.3
113,The Sting,1973,U,8.3
114,A Clockwork Orange,1971,A,8.3
115,2001: A Space Odyssey,1968,U,8.3
116,Per qualche dollaro in più,1965,U,8.3
117,Lawrence of Arabia,1962,U,8.3
118,The Apartment,1960,U,8.3
119,North by Northwest,1959,U,8.3
120,Vertigo,1958,A,8.3
121,Singin' in the Rain,1952,G,8.3
122,Ikiru,1952,,8.3
123,Ladri di biciclette,1948,,8.3
124,Double Indemnity,1944,Passed,8.3
125,Citizen Kane,1941,UA,8.3
126,M - Eine Stadt sucht einen Mörder,1931,Passed,8.3
127,Metropolis,1927,,8.3
128,The Kid,1921,Passed,8.3
129,Chhichhore,2019,UA,8.2
130,Uri: The Surgical Strike,2018,UA,8.2
131,K.G.F: Chapter 1,2018,UA,8.2
132,Green Book,2018,UA,8.2
133,"Three Billboards Outside Ebbing, Missouri",2017,A,8.2
134,Talvar,2015,UA,8.2
135,Baahubali 2: The Conclusion,2017,UA,8.2
136,Klaus,2019,PG,8.2
137,Drishyam,2015,UA,8.2
138,Queen,2013,UA,8.2
139,Mandariinid,2013,,8.2
140,Bhaag Milkha Bhaag,2013,U,8.2
141,Gangs of Wasseypur,2012,A,8.2
142,Udaan,2010,UA,8.2
143,Paan Singh Tomar,2012,UA,8.2
144,El secreto de sus ojos,2009,R,8.2
145,Warrior,2011,UA,8.2
146,Shutter Island,2010,A,8.2
147,Up,2009,U,8.2
148,The Wolf of Wall Street,2013,A,8.2
149,Chak De! India,2007,U,8.2
150,There Will Be Blood,2007,A,8.2
151,Pan's Labyrinth,2006,UA,8.2
152,Toy Story 3,2010,U,8.2
153,V for Vendetta,2005,A,8.2
154,Rang De Basanti,2006,UA,8.2
155,Black,2005,U,8.2
156,Batman Begins,2005,UA,8.2
157,"Swades: We, the People",2004,U,8.2
158,Der Untergang,2004,R,8.2
159,Hauru no ugoku shiro,2004,U,8.2
160,A Beautiful Mind,2001,UA,8.2
161,Hera Pheri,2000,U,8.2
162,"Lock, Stock and Two Smoking Barrels",1998,A,8.2
163,L.A. Confidential,1997,A,8.2
164,Eskiya,1996,,8.2
165,Heat,1995,A,8.2
166,Casino,1995,A,8.2
167,Andaz Apna Apna,1994,U,8.2
168,Unforgiven,1992,A,8.2
169,Indiana Jones and the Last Crusade,1989,U,8.2
170,Dom za vesanje,1988,R,8.2
171,Tonari no Totoro,1988,U,8.2
172,Die Hard,1988,A,8.2
173,Ran,1985,U,8.2
174,Raging Bull,1980,A,8.2
175,Stalker,1979,U,8.2
176,Höstsonaten,1978,U,8.2
177,The Message,1976,PG,8.2
178,Sholay,1975,U,8.2
179,Monty Python and the Holy Grail,1975,PG,8.2
180,The Great Escape,1963,U,8.2
181,To Kill a Mockingbird,1962,U,8.2
182,Yôjinbô,1961,,8.2
183,Judgment at Nuremberg,1961,A,8.2
184,Some Like It Hot,1959,U,8.2
185,Smultronstället,1957,U,8.2
186,Det sjunde inseglet,1957,A,8.2
187,Du rififi chez les hommes,1955,,8.2
188,Dial M for Murder,1954,A,8.2
189,Tôkyô monogatari,1953,U,8.2
190,Rashômon,1950,,8.2
191,All About Eve,1950,Passed,8.2
192,The Treasure of the Sierra Madre,1948,Passed,8.2
193,To Be or Not to Be,1942,Passed,8.2
194,The Gold Rush,1925,Passed,8.2
195,Sherlock Jr.,1924,Passed,8.2
196,Portrait de la jeune fille en feu,2019,R,8.1
197,Pink,2016,UA,8.1
198,Koe no katachi,2016,16,8.1
199,Contratiempo,2016,TV-MA,8.1
200,Ah-ga-ssi,2016,A,8.1
201,Mommy,2014,R,8.1
202,Haider,2014,UA,8.1
203,Logan,2017,A,8.1
204,Room,2015,R,8.1
205,Relatos salvajes,2014,R,8.1
206,Soul,2020,U,8.1
207,Kis Uykusu,2014,,8.1
208,PK,2014,UA,8.1
209,OMG: Oh My God!,2012,U,8.1
210,The Grand Budapest Hotel,2014,UA,8.1
211,Gone Girl,2014,A,8.1
212,Ôkami kodomo no Ame to Yuki,2012,U,8.1
213,Hacksaw Ridge,2016,A,8.1
