1,Frank Darabont,DIRECTOR
2,Tim Robbins,ACTOR
3,Morgan Freeman,ACTOR
4,Bob Gunton,ACTOR
5,Francis Ford Coppola,DIRECTOR
6,Marlon Brando,ACTOR
7,Al Pacino,ACTOR
8,James Caan,ACTOR
9,Christopher Nolan,DIRECTOR
10,Christian Bale,ACTOR
11,Heath Ledger,ACTOR
12,Aaron Eckhart,ACTOR
13,Robert De Niro,ACTOR
14,Robert Duvall,ACTOR
15,Sidney Lumet,DIRECTOR
16,Henry Fonda,ACTOR
17,Lee J. Cobb,ACTOR
18,Martin Balsam,ACTOR
19,Peter Jackson,DIRECTOR
20,Elijah Wood,ACTOR
21,Viggo Mortensen,ACTOR
22,Ian McKellen,ACTOR
23,Quentin Tarantino,DIRECTOR
24,John Travolta,ACTOR
25,Uma Thurman,ACTOR
26,Samuel L. Jackson,ACTOR
27,Steven Spielberg,DIRECTOR
28,Liam Neeson,ACTOR
29,Ralph Fiennes,ACTOR
30,Ben Kingsley,ACTOR
31,Leonardo DiCaprio,ACTOR
32,Joseph Gordon-Levitt,ACTOR
33,Elliot Page,ACTOR
34,David Fincher,DIRECTOR
35,Brad Pitt,ACTOR
36,Edward Norton,ACTOR
37,Meat Loaf,ACTOR
38,Orlando Bloom,ACTOR
39,Robert Zemeckis,DIRECTOR
40,Tom Hanks,ACTOR
41,Robin Wright,ACTOR
42,Gary Sinise,ACTOR
43,Sergio Leone,DIRECTOR
44,Clint Eastwood,ACTOR
45,Eli Wallach,ACTOR
46,Lee Van Cleef,ACTOR
47,Lana Wachowski,DIRECTOR
48,Lilly Wachowski,ACTOR
49,Keanu Reeves,ACTOR
50,Laurence Fishburne,ACTOR
51,Martin Scorsese,DIRECTOR
52,Ray Liotta,ACTOR
53,Joe Pesci,ACTOR
54,Irvin Kershner,DIRECTOR
55,Mark Hamill,ACTOR
56,Harrison Ford,ACTOR
57,Carrie Fisher,ACTOR
58,Milos Forman,DIRECTOR
59,Jack Nicholson,ACTOR
60,Louise Fletcher,ACTOR
61,Michael Berryman,ACTOR
62,Thomas Kail,DIRECTOR
63,Lin-Manuel Miranda,ACTOR
64,Phillipa Soo,ACTOR
65,Leslie Odom Jr.,ACTOR
66,Bong Joon Ho,DIRECTOR
67,Kang-ho Song,ACTOR
