m_id,a_id
1,2
1,3
1,4
2,6
2,7
2,8
3,10
3,11
3,12
4,7
4,13
4,14
5,16
5,17
5,18
6,20
6,21
6,22
7,24
7,25
7,26
8,28
8,29
8,30
9,31
9,32
9,33
10,35
10,36
10,37
11,20
11,22
11,38
12,40
12,41
12,42
13,44
13,45
13,46
14,20
14,22
14,21
15,48
15,49
15,50
16,13
16,52
16,53
17,55
17,56
17,57
18,59
18,60
18,61
19,63
19,64
19,65
20,67
20,68
20,69
21,71
21,72
21,73
22,74
22,75
22,76
23,78
23,79
23,80
24,82
24,83
24,84
25,40
25,85
25,86
26,40
26,87
26,88
27,90
27,91
27,92
28,3
28,35
28,93
29,95
29,96
29,97
30,55
30,56
30,57
31,100
31,101
31,102
32,104
32,105
32,106
33,108
33,109
33,110
34,112
34,13
34,113
35,115
35,116
35,117
36,119
36,120
36,121
37,10
37,122
37,123
38,31
38,85
38,59
39,125
39,126
39,127
40,129
40,112
40,130
41,36
41,132
41,133
42,93
42,135
42,136
43,138
43,139
43,140
44,142
44,143
44,144
45,146
45,147
45,132
46,149
46,150
46,151
47,153
47,154
47,155
48,156
48,157
48,158
49,16
49,159
49,160
50,162
50,163
50,164
51,166
51,167
51,168
52,170
52,171
52,172
53,170
53,173
53,174
54,176
54,177
54,178
55,180
55,181
55,182
56,184
56,72
56,185
57,187
57,188
57,189
58,191
58,192
58,193
59,195
59,196
59,197
60,199
60,200
60,201
61,199
61,200
61,202
62,204
62,205
62,206
63,207
63,208
63,31
64,10
64,209
64,75
65,191
65,72
65,211
66,213
66,214
66,191
67,216
67,217
67,218
68,220
68,221
68,222
69,224
69,225
69,226
70,227
70,228
70,229
71,230
71,231
71,232
72,13
72,233
72,234
73,56
73,235
73,236
74,59
74,238
74,239
75,240
75,6
75,14
76,241
76,242
76,243
77,245
77,246
77,247
78,104
78,248
78,100
79,249
79,250
79,251
80,253
80,254
80,255
81,256
81,257
81,258
82,108
82,259
82,260
83,261
83,262
83,263
84,170
84,171
84,264
85,266
85,267
85,268
86,270
86,271
86,272
87,274
87,275
87,276
88,278
88,279
88,280
89,282
89,283
89,284
90,286
90,287
90,288
91,290
91,291
91,292
92,294
92,295
92,296
93,181
93,298
93,299
94,35
94,300
94,301
95,303
95,304
95,305
96,307
96,308
96,309
97,311
97,35
97,312
98,314
98,315
98,316
99,93
99,317
99,318
100,320
100,85
100,321
101,323
101,324
101,325
102,40
102,327
102,328
103,330
103,331
103,332
104,333
104,334
104,335
105,336
105,337
105,338
106,340
106,341
106,342
107,241
107,343
107,344
108,345
108,346
108,347
109,7
109,349
109,350
110,55
110,56
110,57
111,353
111,354
111,355
112,13
112,95
112,356
113,358
113,359
113,360
114,361
114,362
114,363
115,364
115,365
115,366
116,44
116,46
116,367
117,369
117,370
117,371
118,372
118,373
118,374
119,375
119,376
119,377
120,108
120,378
120,379
121,381
121,381
121,382
122,105
122,383
122,384
123,386
123,387
123,388
124,374
124,389
124,390
125,392
125,393
125,394
126,396
126,397
126,398
127,399
127,400
127,401
128,170
128,402
128,403
129,404
129,405
129,406
130,408
130,73
130,409
131,411
131,412
131,413
132,21
132,415
132,416
133,418
133,419
133,420
134,422
134,423
134,424
135,426
135,427
135,428
136,430
136,431
136,116
137,433
137,434
137,275
138,436
138,437
138,438
139,440
139,441
139,442
140,444
140,445
140,446
141,448
141,449
141,450
142,452
142,453
142,454
143,422
143,456
143,457
144,459
144,460
144,461
145,209
145,463
145,464
