m_id,g_id
1,1
2,2
2,1
3,3
3,2
3,1
4,2
4,1
5,2
5,1
6,3
6,4
6,1
7,2
7,1
8,5
8,1
8,6
9,3
9,4
9,7
10,1
11,3
11,4
11,1
12,1
12,8
13,9
14,3
14,4
14,1
15,3
15,7
16,5
16,2
16,1
17,3
17,4
17,10
18,1
19,5
19,1
19,6
20,11
20,1
20,12
21,1
22,4
22,1
22,7
23,2
23,1
24,13
24,4
24,14
25,1
25,15
26,2
26,1
26,10
27,11
27,1
27,8
28,2
28,1
28,16
29,2
29,1
29,12
30,3
30,4
30,10
31,3
31,1
31,16
32,3
32,4
32,1
33,1
33,14
33,10
34,2
34,1
34,12
35,1
35,17
36,5
36,11
36,1
37,1
37,16
37,7
38,2
38,1
38,12
39,5
39,1
39,17
40,3
40,4
40,1
41,1
42,2
42,16
42,12
43,3
43,2
43,1
44,13
44,4
44,1
45,3
45,7
46,1
46,8
47,13
47,1
47,15
48,4
48,11
48,7
49,9
50,18
50,16
50,12
51,1
51,8
51,15
52,11
52,1
52,14
53,11
53,1
53,8
54,1
55,5
55,1
55,6
56,3
56,2
56,1
57,13
57,1
57,10
58,3
58,5
58,1
59,13
59,3
59,4
60,3
60,4
60,1
61,3
61,4
61,7
62,13
62,4
62,14
63,1
63,9
64,3
64,4
65,11
65,1
66,1
66,14
67,13
67,4
67,14
68,1
68,16
68,12
69,3
69,1
69,16
70,16
70,12
71,13
71,3
71,4
72,2
72,1
73,3
73,4
74,1
74,18
75,1
75,16
75,15
76,18
76,7
77,1
77,19
78,2
78,1
78,16
79,11
80,2
80,1
80,16
81,1
81,15
82,16
82,12
83,1
83,20
84,11
84,1
84,15
85,1
85,12
85,15
86,1
86,10
86,18
87,2
87,1
87,17
88,2
88,1
88,12
89,1
90,1
91,1
91,16
91,15
92,1
93,1
93,14
94,4
94,1
94,15
95,1
95,8
95,7
96,11
96,8
97,11
97,2
98,1
99,1
100,1
100,8
101,1
101,14
101,21
102,13
102,4
102,11
103,5
103,1
103,6
104,2
104,1
104,12
105,1
105,15
106,1
106,12
106,15
107,3
107,4
107,7
108,5
108,1
108,6
109,2
109,1
110,3
110,4
110,10
111,4
111,1
111,12
112,2
112,1
113,11
113,2
113,1
114,2
114,1
114,7
115,4
115,7
116,9
117,4
117,5
117,1
118,11
118,1
118,8
119,4
119,16
119,12
120,16
120,8
120,12
121,11
121,19
121,8
122,1
123,1
124,2
124,1
124,20
125,1
125,16
126,2
126,16
126,12
127,1
127,7
128,11
128,1
128,14
129,11
129,1
130,3
130,1
130,15
131,3
131,1
132,5
132,11
132,1
133,11
133,2
133,1
134,2
134,1
134,16
135,3
135,1
136,13
136,4
136,11
137,2
137,1
137,16
138,4
138,11
138,1
139,1
139,15
140,5
140,1
140,21
141,3
141,11
141,2
142,1
143,3
143,5
143,2
144,1
144,16
144,8
145,3
145,1
145,21
146,16
146,12
147,13
147,4
147,11
148,5
148,2
148,1
149,1
149,14
149,21
150,1
151,1
151,10
151,15
152,13
152,4
152,11
153,3
153,1
153,7
154,11
154,2
154,1
155,1
156,3
156,4
157,1
158,5
158,1
158,6
159,13
159,4
159,14
160,5
160,1
161,3
161,11
161,2
162,3
162,11
162,2
163,2
163,1
163,16
164,2
164,1
164,12
165,2
165,1
165,12
166,2
166,1
167,3
167,11
167,8
168,1
168,9
169,3
169,4
170,11
170,2
170,1
171,13
171,14
171,10
172,3
172,12
173,3
173,1
173,15
174,5
174,1
174,21
175,1
175,7
176,1
176,17
177,5
177,1
177,6
178,3
178,4
178,11
179,4
179,11
179,10
180,4
180,1
180,6
181,2
181,1
182,3
182,1
182,12
183,1
183,15
184,11
184,17
184,8
185,1
185,8
186,1
186,10
186,6
187,2
187,1
187,12
188,2
188,12
189,1
190,2
190,1
190,16
191,1
192,4
192,1
192,9
193,11
193,15
194,4
194,11
194,1
195,3
195,11
195,8
196,1
196,8
197,1
197,12
198,13
198,1
198,14
199,2
199,1
199,16
200,1
200,8
200,12
201,1
202,3
202,2
202,1
203,3
203,1
203,7
204,1
204,12
205,11
205,1
205,12
206,13
206,4
206,11
207,1
208,11
208,1
208,19
209,11
209,1
209,10
210,4
210,11
210,2
211,1
211,16
211,12
212,13
212,1
212,10
213,5
213,1
213,6
214,13
214,4
214,11
215,11
215,1
215,8
216,5
216,1
216,6
217,3
217,5
217,1
218,3
218,5
218,1
219,5
219,2
219,1
220,13
220,4
220,1
221,16
221,12
222,11
222,1
223,2
223,1
223,16
224,3
224,4
