u_id,m_id,rating
1,193,10
1,661,6
1,914,6
1,408,8
1,355,10
1,197,6
1,287,10
1,804,10
1,594,8
1,919,8
1,595,10
1,938,8
1,398,8
1,918,8
1,35,10
1,791,8
1,687,6
1,18,8
1,105,10
1,797,8
2,357,10
2,68,8
2,537,8
2,647,6
2,194,8
2,648,8
2,268,10
2,628,6
2,103,6
2,916,6
2,468,10
2,210,8
2,792,6
2,687,6
2,213,4
2,578,10
2,881,6
2,30,8
2,217,6
2,105,8
3,421,8
3,641,4
3,648,6
3,394,8
3,534,6
3,104,8
3,735,8
3,210,8
3,431,6
3,868,6
3,79,10
3,997,6
3,615,10
3,291,8
3,259,10
3,653,8
3,167,10
3,580,6
3,619,4
3,260,10
4,468,10
4,210,6
4,951,8
4,214,8
4,36,8
4,260,10
4,28,10
4,480,8
4,196,4
4,198,10
4,954,10
4,97,8
4,418,8
4,702,8
4,366,8
4,387,10
4,527,2
4,201,10
4,692,10
4,947,10
5,987,8
5,333,8
5,175,10
5,39,6
5,288,4
5,337,10
5,535,8
5,392,8
5,268,4
5,466,6
5,860,4
5,683,6
5,866,8
5,684,6
5,916,2
5,770,8
5,215,6
5,759,8
5,501,2
5,578,4
6,406,10
6,101,8
6,717,8
6,30,8
6,688,10
6,35,10
6,578,8
6,364,8
6,501,10
6,72,8
6,368,8
6,296,4
6,48,10
6,74,10
6,188,8
6,508,6
6,588,8
6,1,8
6,43,8
6,858,2
7,648,8
7,861,8
7,916,10
7,578,6
7,793,6
7,610,10
7,589,10
7,6,8
7,442,8
7,733,10
7,377,6
7,353,10
7,196,10
7,571,10
7,380,10
7,997,10
7,270,8
7,457,10
7,573,8
7,753,8
8,39,6
8,336,6
8,288,10
8,425,6
8,268,6
8,466,8
8,393,10
8,682,8
8,916,10
8,506,6
8,508,6
8,213,6
8,42,6
8,650,10
8,500,6
8,296,10
8,147,10
8,148,6
8,702,6
8,278,6
9,268,8
9,466,8
9,393,6
9,861,4
9,682,8
9,717,6
9,508,6
9,793,8
9,720,8
9,367,6
9,47,10
9,147,8
9,148,6
9,617,8
9,278,8
9,223,8
9,150,6
9,298,8
9,1,10
9,6
10,622,10
10,648,8
10,628,6
10,358,10
10,359,6
10,682,10
10,756,8
10,320,6
10,124,6
10,125,10
10,250,6
10,54,8
10,252,6
10,253,10
10,720,10
10,868,6
10,254,6
10,869,6
10,256,6
10,500,10
11,753,8
11,682,2
11,216,8
11,997,8
11,259,6
11,188,8
11,706,4
11,586,2
11,587,6
11,639,4
11,136,2
11,265,6
11,710,6
11,663,8
11,590,6
11,197,10
11,712,2
11,198,8
11,593,10
11,916,8
12,252,6
12,362,6
12,193,8
12,198,10
12,593,10
12,813,6
12,897,8
12,804,10
12,919,10
12,923,10
12,858,10
12,934,4
12,658,8
12,641,6
12,111,10
12,221,10
12,265,8
12,303,8
12,233,6
12,999,8
13,987,6
13,648,6
13,628,6
13,54,6
13,259,8
13,589,10
13,690,6
13,2,6
13,153,6
13,331,8
13,135,6
13,262,8
13,196,10
13,590,8
13,197,8
13,736,8
13,198,10
13,640,6
13,592,6
13,641,6
14,354,6
14,997,10
14,263,10
14,572,2
14,731,8
14,33,8
14,243,6
14,623,6
14,826,4
14,686,10
14,762,10
14,692,8
14,694,2
14,968,4
14,578,8
14,296,10
14,920,10
14,982,2
14,858,6
14,81,8
15,421,8
15,648,8
15,354,4
15,485,6
15,141,8
15,126,6
15,58,6
15,798,8
15,997,4
15,653,4
15,702,2
15,706,8
15,707,8
15,587,6
15,490,8
15,909,8
15,567,8
15,298,8
15,496,6
15,4
16,987,6
16,555,4
16,629,4
16,682,8
16,485,6
16,701,4
16,568,2
16,4,6
16,269,8
16,713,4
16,911,6
16,516,6
16,643,6
16,572,8
16,16,4
16,720,2
16,722,4
16,723,4
16,724,8
16,581,8
17,179,10
17,553,8
17,554,6
17,932,6
17,863,6
17,793,8
17,253,10
17,720,10
17,58,6
17,185,10
17,503,10
17,589,10
17,909,8
17,223,8
17,6,8
17,408,10
17,879,8
17,265,10
17,193,10
17,510,8
18,987,10
18,989,10
18,622,10
18,648,8
18,628,8
18,682,8
18,683,10
18,688,8
18,123,6
18,52,6
18,793,10
18,54,6
18,993,10
18,185,10
18,259,10
18,186,2
18,653,6
18,701,6
18,586,8
18,438,4
19,987,8
19,989,8
19,421,6
19,622,10
19,648,6
19,628,6
19,753,6
19,682,8
19,756,8
19,930,6
19,321,8
19,863,8
19,990,6
19,793,8
19,991,10
19,720,10
19,993,8
19,327,4
19,258,10
19,700,8
20,648,8
20,863,6
20,589,8
20,694,6
20,641,8
20,912,10
20,571,10
20,527,8
20,923,8
20,371,8
20,375,6
20,527,10
20,468,6
20,717,4
20,578,10
20,47,10
20,617,10
20,858,8
20,457,8
