id,gender,age_group
1,F,1
2,M,56
3,M,25
4,M,45
5,M,25
6,F,50
7,M,35
8,M,25
9,M,25
10,F,35
11,F,25
12,M,25
13,M,45
14,M,35
15,M,25
16,F,35
17,M,50
18,F,18
19,M,1
20,M,25
21,M,18
22,M,18
23,M,35
24,F,25
25,M,18
26,M,25
27,M,25
28,F,25
29,M,35
30,F,35
31,M,56
32,F,25
33,M,45
34,F,18
35,M,45
36,M,25
37,F,25
38,F,18
39,M,18
40,M,45
41,F,18
42,M,25
43,M,25
44,M,45
45,F,45
46,M,18
47,M,18
48,M,25
49,M,18
50,F,25
51,F,1
52,M,18
53,M,25
54,M,50
55,F,35
56,M,35
57,M,18
58,M,25
59,F,50
60,M,50
61,M,25
62,F,35
63,M,18
64,M,18
65,M,35
66,M,25
67,F,50
68,M,18
69,F,25
70,M,18
71,M,25
72,F,45
73,M,18
74,M,35
75,F,1
76,M,35
77,M,18
78,F,45
79,F,45
80,M,56
81,F,25
82,M,25
83,F,25
84,M,18
85,M,18
86,F,1
87,M,25
88,F,45
89,F,56
90,M,56
91,M,35
92,F,18
93,M,25
94,M,25
95,M,45
96,F,25
97,F,35
98,F,35
99,F,1
100,M,35
101,F,18
102,M,35
103,M,45
104,M,25
105,M,45
106,F,35
107,M,45
108,M,25
109,M,45
110,M,25
111,M,35
112,M,25
113,M,18
114,F,25
115,M,25
116,M,25
117,M,25
118,M,35
119,F,1
120,M,25
121,M,35
122,F,18
123,M,35
124,M,56
125,M,45
126,M,18
127,F,45
128,M,56
129,M,25
130,M,35
131,M,18
132,M,25
133,F,25
134,M,25
135,M,18
136,M,18
137,F,45
138,M,18
139,F,25
140,F,35
141,M,35
142,M,25
143,M,18
144,M,25
145,M,18
146,F,35
147,M,18
148,M,50
149,M,25
150,M,35
151,F,25
152,M,18
153,M,1
154,M,50
155,M,35
156,F,45
157,M,35
158,M,56
159,F,45
160,M,35
161,M,45
162,F,18
163,M,18
164,F,56
165,M,18
166,M,18
167,F,25
168,F,50
169,M,25
170,M,25
171,F,50
172,M,25
173,M,25
174,M,25
175,F,25
176,F,18
177,M,50
178,M,56
179,M,25
180,M,45
181,M,18
182,M,18
183,F,45
184,F,25
185,M,45
186,M,18
187,F,45
188,M,56
189,M,18
190,M,25
191,M,18
192,M,18
193,F,45
194,F,1
195,M,25
196,F,35
197,M,18
198,M,25
199,M,18
200,F,18
201,F,35
202,M,18
203,F,18
204,M,25
205,M,35
206,M,25
207,M,25
208,M,35
209,M,35
210,F,1
211,M,45
212,M,25
213,F,18
214,M,18
215,M,35
216,M,45
217,M,18
218,M,35
219,F,25
220,M,25
221,F,25
222,M,25
223,M,25
224,F,18
225,M,25
226,M,35
227,M,35
228,M,25
229,M,18
230,M,45
231,M,25
232,M,25
233,F,45
234,M,35
235,M,25
236,M,25
237,M,25
238,F,50
239,M,18
240,M,50
241,M,35
242,F,18
243,M,25
244,M,50
245,M,35
246,F,18
247,M,25
248,M,18
249,F,18
250,M,35
251,M,56
252,M,25
253,F,25
254,M,35
255,M,35
256,M,45
257,M,18
258,M,25
259,M,25
260,M,18
261,M,25
262,F,25
263,F,25
264,M,35
265,F,35
266,M,35
267,M,45
268,F,18
269,M,25
270,M,50
271,M,18
272,M,18
273,M,18
274,M,18
275,M,25
276,M,45
277,F,35
278,M,45
279,M,25
280,M,50
281,F,35
282,M,25
283,M,25
284,M,25
285,F,35
286,M,25
287,M,50
288,F,25
289,F,25
290,F,25
291,M,35
292,M,35
293,M,56
294,F,45
295,M,18
296,M,50
297,M,18
298,F,18
299,M,25
300,M,25
301,M,18
302,M,18
303,M,25
304,M,25
305,F,18
306,M,18
307,M,50
308,M,25
309,M,25
310,F,18
311,M,18
312,F,50
313,F,18
314,F,56
315,F,56
316,M,56
317,M,35
318,F,56
319,F,50
320,M,35
321,M,18
322,M,56
323,M,45
324,M,35
325,F,50
326,M,50
327,M,35
328,M,35
329,M,35
330,M,56
331,M,25
332,M,50
333,M,35
334,F,56
335,M,35
336,M,18
337,M,18
338,M,35
339,M,50
340,F,25
341,F,56
342,M,18
343,F,35
344,M,35
345,M,25
346,F,25
347,F,56
348,M,50
349,M,1
350,M,45
351,M,18
352,M,18
353,F,35
354,M,35
355,M,18
356,M,56
357,M,18
358,F,56
359,M,25
360,M,35
361,F,25
362,M,35
363,M,18
364,F,35
365,F,18
366,M,50
367,M,50
368,M,25
369,M,35
370,M,18
371,M,18
372,F,18
373,F,25
374,F,35
375,M,25
376,M,35
377,M,25
378,F,18
379,F,35
380,M,25
381,M,35
382,F,35
383,F,25
384,M,25
385,M,25
386,M,25
387,F,35
388,F,25
389,M,25
390,M,25
391,M,45
392,M,18
393,M,35
394,M,18
395,M,18
396,M,25
397,M,35
398,M,25
399,F,35
400,F,18
401,M,18
402,M,25
403,M,18
404,M,18
405,M,56
406,M,25
407,M,18
408,M,25
409,M,18
410,F,25
411,F,45
412,M,35
413,M,25
414,M,25
415,F,35
416,M,45
417,F,25
418,F,25
419,M,18
420,M,35
421,F,45
422,M,56
423,M,18
424,M,25
425,M,25
426,M,18
427,M,35
428,F,18
429,M,18
430,F,18
431,M,18
432,M,45
433,M,50
434,F,45
435,M,25
436,M,18
437,M,35
438,M,18
439,M,35
440,M,56
441,M,35
442,M,25
443,M,25
444,M,56
445,M,45
446,F,50
447,F,45
448,M,25
449,M,25
450,M,45
451,M,56
452,M,50
453,M,18
454,M,25
455,F,35
456,M,35
457,M,18
458,M,50
459,F,18
460,M,45
461,M,50
462,M,18
463,M,25
464,F,18
465,M,18
466,M,25
467,F,35
468,F,1
469,M,35
470,F,1
471,M,35
472,M,35
473,F,18
474,M,25
475,F,25
476,M,35
477,M,35
478,M,50
479,M,25
480,F,18
481,M,45
482,M,25
483,M,18
484,F,1
485,M,56
486,M,56
487,F,35
488,M,25
489,M,18
490,M,1
491,M,18
492,M,25
493,M,50
494,F,35
495,M,18
496,M,18
497,F,25
498,M,35
499,F,25
500,F,18
501,M,25
502,M,35
503,M,35
504,M,25
505,M,35
506,M,25
507,F,25
508,M,25
509,M,25
510,M,18
511,F,45
512,M,35
513,M,25
514,M,25
515,M,25
516,F,56
517,F,25
518,F,35
519,F,35
520,F,35
521,M,56
522,M,25
523,M,50
524,M,18
525,M,35
526,M,45
527,F,25
528,F,18
529,M,35
530,M,25
